timestamp,cpu_util,vm_id,vm_type
2019-01-23 22:00:00,2.1336498,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 23:00:00,2.1558802,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 00:00:00,1.9707931,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 01:00:00,1.9909896,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 02:00:00,2.0757496,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 03:00:00,2.0531793,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 04:00:00,2.030481,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 05:00:00,2.393358,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 06:00:00,1.960791,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 07:00:00,2.1750991,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 08:00:00,2.0527198,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 09:00:00,2.0618606,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 10:00:00,2.0432465,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 11:00:00,2.0812867,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 12:00:00,2.0547333,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 13:00:00,2.38078,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 14:00:00,2.06129,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 15:00:00,2.3085434,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 16:00:00,2.0651,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 17:00:00,2.0731332,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 18:00:00,2.0614955,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 19:00:00,2.0418272,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 20:00:00,2.0375235,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 21:00:00,2.5504093,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 22:00:00,2.0705037,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-24 23:00:00,2.1514063,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 00:00:00,1.9627966,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 01:00:00,2.04069,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 02:00:00,2.0026824,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 03:00:00,2.1348534,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 04:00:00,2.0203865,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 05:00:00,2.3717954,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 06:00:00,1.9978479,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 07:00:00,2.153733,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 08:00:00,2.034525,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-25 09:00:00,2.0629117,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
